Alimento;Energia;Proteine;Carboidrati;Lipidi    
;(kcal);(g);(g);(g)
ACCIUGHE o ALICI      ;96;16,8;1,5;2,6
ACETO        ;4;0,4;0,6;0
ACQUA        ;0;0;0;0
AGLIO  fresco      ;41;0,9;8,4;0,6
AGNELLO        ;162;20,8;0;8,8
ALBICOCCHE        ;28;0,4;6,8;0,1
AMARENE        ;41;0,8;10,2;0
ANANAS        ;40;0,5;10;0
ANATRA        ;159;21,4;0;8,2
ANGUILLA DI FIUME      ;261;11,8;0,1;23,7
ARACHIDI  CRUDE      ;571;26;11,2;47,2
ARAGOSTA        ;86;16,2;1;1,9
ARANCE        ;34;0,7;7,8;0,2
ASPARAGI DI BOSCO      ;35;4,6;4;0,2
ASTICE        ;90;18,8;0,5;0,9
AVENA        ;389;16,9;55,7;6,9
AVOCADO        ;231;4,4;1,8;23
BACCALA'   ammollato     ;95;21,6;0;1
BANANA        ;66;1,2;15,5;0,3
BARBABIETOLE ROSSE       ;20;1,1;4;0
BASILICO   fresco     ;40;3,1;5,1;0,8
BIETA        ;17;1,3;2,8;0,1
BIRRA CHIARA       ;34;0,2;3,5;0
BIRRA SCURA       ;30;0,3;3;0
BISCOTTI FROLLINI       ;493;7,4;68,5;21
BRESAOLA        ;175;34;0;4,3
BROCCOLETTI DI RAPE      ;22;2,9;2;0,3
BROCCOLO A TESTA      ;27;3;3,1;0,4
BRODO DI CARNE E VERDURA    ;5;0,7;0,1;0,2
BRODO VEGETALE       ;5;0,3;0,3;0,4
BURRATA        ;396;15,2;5,7;34,9
BURRO        ;758;0,8;1,1;83,4
BURRO DI ARACHIDI      ;623;22,6;13,1;53,7
CACAO AMARO  IN POLVERE     ;355;20,4;11,5;25,6
CACAO DOLCE  IN POLVERE SOLUBILE    ;349;4,5;67,7;8,6
CACIOTTINA FRESCA       ;261;17,3;0;21,3
CAFFE' CRUDO, in grani     ;190;11,2;6,7;13,1
CAFFE' DECAFFEINATO, TOSTATO, MACINATO     ;287;10,4;28,5;15,4
CALAMARO        ;68;12,6;0,6;1,7
CARCIOFI   ;22;2,7;2,5;0,2
CAROTE        ;33;1,1;7,6;0
CASTAGNE        ;189;3,5;42,4;1,8
CAVALLO        ;113;21,7;0,5;2,7
CAVIALE        ;252;18,9;1,9;18,8
CAVOLFIORE        ;25;3,2;2,7;0,2
CAVOLI DI BRUXELLES      ;37;4,2;4,3;0,5
CECI   secchi     ;334;21,8;54,3;4,9
CEREALI AGGREGATI       ;342;10,7;74,9;0,2
CERNIA        ;80;17,9;0,6;0,7
CETRIOLI        ;14;0,7;1,8;0,5
CICORIA        ;10;1,4;0,7;0,2
CILIEGE        ;38;0,8;9;0,1
CIOCCOLATO AL LATTE      ;565;8,9;50,8;37,6
CIOCCOLATO BIANCO       ;529;8;58,3;30,9
CIOCCOLATO CON NOCCIOLE      ;571;9,3;45,9;40,1
CIOCCOLATO FONDENTE       ;542;5,8;56,7;34
CIOCCOLATO GIANDUIA       ;509;13,1;52,7;28,8
CIPOLLE        ;26;1;5,7;0,1
COCA COLA       ;39;0;10,5;0
COCOMERO        ;15;0,4;3,7;0
